id,name,slug,type,permalink,sku,on_sale,price_aed,regular_price_aed,sale_price_aed,is_purchasable,is_in_stock,average_rating,review_count,image_count,primary_image_url,category_ids,category_names,tag_ids,tag_names,has_options,add_to_cart_text
5511,Engine Control Unit (ECU) –2GD AT-2WD-2015-89661-F0Z30,toyota-engine-control-unit-ecu-89661-f0230,simple,https://www.topengine.ae/product/toyota-engine-control-unit-ecu-89661-f0230/,,True,1500.0,1700.0,1500.0,True,True,0,0,6,https://www.topengine.ae/wp-content/uploads/2025/11/WhatsApp_Image_2025-11-30_at_12.18.56_AM__3_-removebg-preview.png,817,TOYOTA 1KD/2KD/1GD/2GD,899|890|891|892|885|883|895|889|886,1GD|1GD ECU|Auto Parts|Auto Spare Parts Dubai|BK ECU|Denso|Diesel Engine ECU|Fortuner ECU|Toyota ECU,False,Add to cart
5503,Engine Control-1GD-AT-2/4WD89661-26N90,engine-control,simple,https://www.topengine.ae/product/engine-control/,,True,800.0,900.0,800.0,True,True,0,0,5,https://www.topengine.ae/wp-content/uploads/2025/11/WhatsApp_Image_2025-11-29_at_11.17.29_PM__2_-removebg-preview.png,827,TOYOTA HIACE 1GD 2.8CC DIESAL,910|921|927|879,Engine Computer|Engine Control|HIECE|Toyota,False,Add to cart
5436,ENGINE CONTROL 1GD-2018MTM-4WD-89661-F0V60,computer-engine-control,simple,https://www.topengine.ae/product/computer-engine-control/,,True,1200.0,1500.0,1200.0,True,True,0,0,5,https://www.topengine.ae/wp-content/uploads/2025/11/IMG_9589-removebg-preview.png,871,Toyota Hilux 1GDFTV 2800CC,899|929|924|927|900|925|879|928,1GD|2018|4WD|HIECE|Hilux|MTM|Toyota|TOYOTA PART,False,Add to cart
5341,spare part 01,spare-part-01,simple,https://www.topengine.ae/product/spare-part-01/,,False,4000.0,4000.0,4000.0,True,True,0,0,2,https://www.topengine.ae/wp-content/uploads/2025/08/download-5.jpeg,824,NISSAN PATROL ZD30 3.0CC DIESAL,,,False,Add to cart
5335,1 GD Ford,1-gd-ford,simple,https://www.topengine.ae/product/1-gd-ford/,,False,0.0,0.0,0.0,False,True,0,0,2,https://www.topengine.ae/wp-content/uploads/2025/08/download-2025-09-04T220832.895.jpg,817,TOYOTA 1KD/2KD/1GD/2GD,,,False,Read more
4236,1GD AC COMPRESSOR,1gd-ac-compressor-2,simple,https://www.topengine.ae/product/1gd-ac-compressor-2/,88320-60A02,False,0.0,0.0,0.0,False,True,0,0,1,https://www.topengine.ae/wp-content/uploads/2025/08/H024c396d748c45728794be8f755351231.jpg,828,TOYOTA PRADO 1GD 2.8CC DIESAL,,,False,Read more
4235,1GD COMPUTER ENGINE CONTROL,1gd-computer-engine-control-2,simple,https://www.topengine.ae/product/1gd-computer-engine-control-2/,89666-60Q10,False,0.0,0.0,0.0,False,True,0,0,1,https://www.topengine.ae/wp-content/uploads/2025/08/Steinbauer-PowerModule-product-image-800x600_9203d0ce-954a-455d-bd97-d3b90ad6044c_1200x1200.jpg,828,TOYOTA PRADO 1GD 2.8CC DIESAL,,,False,Read more
4233,1GD MANUAL TRANSMISSION,1gd-manual-transmission-3,simple,https://www.topengine.ae/product/1gd-manual-transmission-3/,33030-60C40,False,0.0,0.0,0.0,False,True,0,0,1,https://www.topengine.ae/wp-content/uploads/2025/08/download-49.jpg,828,TOYOTA PRADO 1GD 2.8CC DIESAL,,,False,Read more
4232,1GD CLUTCH DISC,1gd-clutch-disc-3,simple,https://www.topengine.ae/product/1gd-clutch-disc-3/,31250-60383,False,0.0,0.0,0.0,False,True,0,0,1,https://www.topengine.ae/wp-content/uploads/2025/08/download-6.jpeg,828,TOYOTA PRADO 1GD 2.8CC DIESAL,,,False,Read more
4231,1GD CLUTCH COVER,1gd-clutch-cover-2,simple,https://www.topengine.ae/product/1gd-clutch-cover-2/,31210-60350,False,0.0,0.0,0.0,False,True,0,0,1,https://www.topengine.ae/wp-content/uploads/2025/08/download-47.jpg,828,TOYOTA PRADO 1GD 2.8CC DIESAL,,,False,Read more
